"Tenure","Gender","EducationLevel","LoanStatus","NetPromoterScore","TransactionFrequency","Surname","Age","Geography","ComplaintsCount","HasCrCard","EstimatedSalary","IsActiveMember","AvgTransactionAmount","CustomerSegment","MaritalStatus","DigitalEngagementScore","ID","CreditScore","SavingsAccountFlag","Balance","NumOfProducts","Exited"
5,"Male","High School","Active loan",0,26,"Solomina",37,"France","0","0",84584.69,"1",66.5000146582792,"Affluent","Single",62,NA,627,"0",80001.23,"1","0"
3,"Male","Postgraduate","Default risk",1,28,"Robertson",20,"Spain","2","0",94488.82,"0",109.618042482015,"High Net Worth","Divorced",40,NA,569,"0",166685.92,"1","0"
6,"Male","University","No loan",10,36,"Atkinson",46,"Germany","0","1",69578.49,"1",123.783494761824,"Mass Market","Married",80,2796,714,"1",92887.13,"1","0"
6,"Male","University","No loan",9,22,"Butcher",42,"France","0","1",153342.38,"1",236.217805502062,"Mass Market","Married",74,3207,701,"1",86167.82,"1","0"
3,"Female","Postgraduate","Active loan",3,33,"Ozerova",52,"France","1","1",175843.68,"0",172.482651879158,"High Net Worth","Divorced",28,1024,691,"0",0,"2","1"
5,"Female","High School","Active loan",5,42,NA,48,"France","0","1",160529.71,"0",88.0991998902802,"Affluent","Single",69,4798,469,"1",0,"1","1"
7,"Male","University","No loan",9,28,"Kline",35,"Spain","0","0",126555.74,"0",107.524357242795,"Mass Market","Married",62,736,850,"1",80293.98,"1","0"
2,"Male","High School","No loan",0,28,"Wei",30,"France","0","1",83473.82,"1",50.8452997294432,"Mass Market","Married",40,115,684,"1",0,"2","0"
5,"Female","High School","No loan",9,30,"Marcelo",24,"Germany","0","1",26578.69,"0",64.1455458303193,"Mass Market","Married",56,NA,617,"1",102773.2,"2","1"
7,"Female","University","No loan",0,27,NA,48,"France","0","1",85081.09,"0",122.086035746322,"Mass Market","Married",77,3455,530,"1",0,"1","0"
2,"Female","High School","Active loan",4,38,"Campbell",35,"Germany","0","0",198802.9,"1",107.237801071328,"Affluent","Single",58,5044,727,"0",128284.45,"1","0"
8,"Male","University","No loan",8,25,"Coates",33,"France","0","0",13107.24,"0",113.865201595426,"Mass Market","Married",52,6311,504,"1",206663.75,"1","0"
7,"Male","University","No loan",10,23,"Landseer",41,"Germany","0","0",9201.53,"1",90.1323744574138,"Mass Market","Married",49,NA,579,"1",141749.68,"1","0"
8,"Female","University","No loan",9,23,"Hill",25,"France","0","1",22745.5,"0",60.3287869776042,"Mass Market","Married",68,NA,657,"1",171770.55,"1","0"
0,"Female","Postgraduate","Default risk",0,30,"Jones",36,"France","2","1",99019.65,"1",58.0578140529265,"High Net Worth","Divorced",51,4869,547,"0",133701.07,"1","0"
3,"Female","University","No loan",0,36,"Tung",34,"France","0","1",26578.69,"0",224.534654768902,"Mass Market","Married",37,5869,655,"1",99986.98,"2","0"
4,"Female","Postgraduate","Active loan",7,40,"Seabrook",45,"France","1","1",60917.24,"1",70.0206621232026,"High Net Worth","Divorced",53,618,493,"0",45144.43,"1","1"
4,"Female","University","No loan",8,31,NA,35,"Spain","0","1",32275.09,"1",36.9586661385407,"Mass Market","Married",66,6281,542,"1",174894.53,"1","0"
8,"Female","High School","Active loan",5,33,NA,74,"Germany","0","1",66732.63,"1",106.196070203679,"Affluent","Single",84,2195,546,"1",152335.7,"2","1"
7,"Female","University","No loan",0,39,"Forbes",43,"Spain","0","1",64679.3,"1",142.054920623345,"Mass Market","Married",75,6799,682,"1",68345.86,"2","0"
9,"Male","University","No loan",8,37,NA,67,"Germany","0","1",99490.01,"1",86.6670619301844,"Mass Market","Married",35,2652,689,"1",130862.43,"1","0"
9,"Male","Postgraduate","Default risk",1,37,"Kelly",20,"Spain","2","1",59601.15,"1",76.1316844327071,"High Net Worth","Divorced",74,5988,612,"0",170288.38,"1","0"
5,"Female","High School","Active loan",0,33,"He",33,"Germany","0","0",196062.01,"0",179.870078687509,"Affluent","Single",61,NA,607,"0",102365.49,"2","0"
9,"Female","High School","No loan",9,33,NA,42,"France","0","1",4292.72,"1",54.8521383968424,"Mass Market","Married",46,4553,674,"1",0,"2","0"
1,"Male","Postgraduate","Default risk",1,22,"Mahmood",20,"Germany","2","1",32275.09,"1",127.047660290442,"High Net Worth","Divorced",57,1288,620,"0",152759,"1","1"
7,"Female","University","No loan",9,32,"Black",44,"France","0","1",66548.58,"0",114.410086618623,"Mass Market","Married",61,3749,665,"1",0,"2","0"
1,"Male","High School","Active loan",6,29,"Scott",29,"France","0","1",6770.44,"1",78.7649078018547,"Affluent","Single",57,4149,494,"0",0,"2","0"
1,"Female","University","No loan",8,26,NA,38,"France","0","1",82774.07,"0",99.828120205706,"Mass Market","Married",76,1505,850,"1",106871.81,"2","0"
10,"Male","University","No loan",8,30,NA,46,"Germany","0","1",73470.98,"1",131.208266015033,"Mass Market","Married",78,1936,749,"1",80380.24,"2","0"
3,"Male","High School","Active loan",0,26,"Avdeev",20,"Spain","0","0",101617.43,"1",80.4522474578898,"Affluent","Single",56,NA,625,"0",106070.89,"1","0"
4,"Male","High School","Active loan",6,26,"Nwachinemelu",38,"France","0","0",13107.24,"1",188.70064486477,"Affluent","Single",32,6114,565,"0",0,"2","0"
9,"Female","Postgraduate","Active loan",0,33,"Medvedeva",35,"Spain","1","1",68141.92,"1",102.286223230178,"High Net Worth","Divorced",38,6870,658,"0",71829.34,"1","0"
5,"Male","High School","No loan",9,22,NA,24,"France","0","1",71638,"1",54.3181823343086,"Affluent","Married",50,2379,660,"1",0,"1","0"
0,"Male","Postgraduate","Active loan",0,41,NA,27,"France","1","0",151912.49,"0",83.7029152012867,"High Net Worth","Divorced",86,NA,594,"0",121345.88,"1","0"
8,"Female","University","No loan",8,40,"Ross",43,"France","0","1",196134.44,"1",61.2605966642263,"Mass Market","Married",47,1568,696,"1",0,"2","0"
1,"Female","University","No loan",8,27,"Akabueze",40,"Germany","0","1",120373.84,"1",77.9931211594763,"Mass Market","Married",39,5236,740,"1",143139.87,"1","1"
6,"Male","University","No loan",8,35,"Mitchell",38,"France","0","1",1299.75,"0",98.5284858164105,"Mass Market","Married",66,422,700,"1",134811.3,"1","0"
10,"Male","University","No loan",10,32,NA,46,"Germany","0","1",176730.02,"1",103.122837929731,"Mass Market","Married",61,340,631,"1",120811.89,"1","0"
1,"Male","University","No loan",10,29,"Seccombe",32,"France","0","1",49405.93,"1",110.043317587986,"Mass Market","Married",61,6651,603,"1",177729.13,"1","0"
10,"Male","University","No loan",10,29,NA,32,"Spain","0","1",159891.03,"1",134.330657146128,"Mass Market","Married",55,NA,566,"1",128412.61,"1","0"
5,"Male","High School","Active loan",7,32,NA,28,"France","0","0",167973.63,"1",169.795821278769,"Affluent","Single",55,935,489,"0",79460.98,"2","0"
0,"Male","High School","No loan",9,37,"Heard",28,"Germany","0","1",8755.69,"0",140.226358321315,"Mass Market","Married",58,2340,677,"1",143988,"2","1"
2,"Female","Postgraduate","Active loan",3,26,"Lambert",34,"France","1","1",82774.07,"1",99.2978450808561,"High Net Worth","Divorced",62,2697,461,"0",0,"2","1"
1,"Male","University","No loan",8,38,"Bishop",26,"Germany","0","0",121551.93,"0",87.6356427166289,"Mass Market","Married",39,5924,514,"1",138476.41,"2","0"
4,"Female","University","No loan",8,35,"Tuan",33,"Spain","0","1",103931.49,"1",55.74960805456,"Mass Market","Married",73,5959,721,"1",72535.45,"2","0"
7,"Male","University","No loan",8,35,"Chidimma",42,"Spain","0","1",39830.1,"1",197.139437831732,"Mass Market","Married",59,NA,715,"1",75075.14,"1","0"
7,"Male","Postgraduate","Default risk",1,22,NA,46,"Germany","2","1",55775.72,"1",71.2176817906782,"High Net Worth","Divorced",55,2175,587,"0",132603.36,"1","0"
4,"Male","University","No loan",10,22,"Nicholson",28,"France","0","1",26920.43,"0",142.120383065102,"Mass Market","Married",38,6769,597,"1",55776.39,"2","0"
4,"Female","Postgraduate","Active loan",3,33,"Yuan",35,"Spain","1","1",106785.7,"1",115.51157114924,"High Net Worth","Divorced",67,1622,674,"0",147936.42,"1","0"
3,"Female","University","No loan",8,38,"Li Fonti",43,"Spain","0","1",26578.69,"0",102.807490470432,"Mass Market","Married",60,3088,616,"1",120867.18,"1","1"
3,"Female","University","No loan",10,32,NA,38,"Spain","0","1",126253.31,"0",125.386598741813,"Mass Market","Married",59,6798,678,"1",124483.53,"1","0"
3,"Male","University","No loan",8,25,"Blacklock",33,"Spain","0","0",124749.08,"1",119.087209220112,"Mass Market","Married",36,1910,815,"1",113146.98,"1","0"
9,"Male","University","No loan",9,42,"Grant",31,"France","0","0",82774.07,"1",50.3711525168882,"Mass Market","Married",39,4342,593,"1",0,"2","0"
8,"Female","University","No loan",8,25,"Ogle",32,"Spain","0","1",26578.69,"0",74.2841742797474,"Mass Market","Married",47,4087,629,"1",0,"2","0"
0,"Female","High School","Active loan",0,27,"Yao",30,"France","0","1",49405.93,"1",74.6302290740336,"Affluent","Single",56,4658,525,"1",157989.21,"2","0"
9,"Male","Postgraduate","Default risk",1,36,NA,31,"Germany","2","1",13107.24,"1",114.986746542247,"High Net Worth","Divorced",55,NA,551,"0",114753.76,"1","0"
6,"Female","High School","Active loan",0,30,NA,52,"Germany","0","1",38984.37,"1",101.459125745881,"Affluent","Single",43,6509,628,"0",71283.09,"2","0"
4,"Male","University","No loan",9,36,"Turnbull",40,"France","0","1",100433.83,"1",55.0620792725163,"Mass Market","Married",68,325,501,"1",125832.2,"1","0"
6,"Female","High School","Active loan",5,37,"Tung",40,"France","0","0",49405.93,"0",59.6582103224382,"Affluent","Single",59,4597,710,"1",100315.1,"2","0"
1,"Male","University","No loan",10,26,"Narelle",40,"Spain","0","1",193321.3,"1",33.6590250037629,"Mass Market","Married",35,1537,739,"1",0,"1","0"
5,"Male","Postgraduate","Active loan",3,28,"Benson",22,"France","1","0",26578.69,"1",48.3561189384351,"High Net Worth","Divorced",51,NA,750,"0",0,"2","0"
7,"Female","University","No loan",10,26,NA,20,"Spain","0","1",111421.77,"0",138.595003660504,"Mass Market","Married",73,1334,535,"1",115309.75,"1","0"
1,"Male","University","No loan",9,26,"Hs?eh",37,"Germany","0","1",113926.31,"0",153.235256336399,"Mass Market","Married",66,NA,640,"1",138162.41,"1","0"
1,"Male","High School","No loan",5,36,"Abernathy",36,"Spain","0","1",102021.39,"1",230.903332480485,"Affluent","Single",66,6574,850,"1",0,"2","0"
9,"Male","High School","No loan",0,36,"Aldridge",44,"Spain","0","1",32275.09,"1",60.4897546142669,"Affluent","Married",63,6977,665,"1",0,"2","0"
1,"Male","Other","Default risk",0,30,NA,48,"Germany","3","0",32275.09,"0",276.475855506388,"High Net Worth","Widowed",55,NA,543,"0",77253.5,"1","1"
9,"Female","University","No loan",8,34,"Stout",30,"France","0","0",69829.4,"0",64.1134912151775,"Mass Market","Married",46,427,687,"1",0,"1","0"
6,"Male","High School","Active loan",4,32,NA,40,"France","0","1",82774.07,"0",96.2714477785123,"Affluent","Single",64,6249,850,"0",124788.18,"1","0"
6,"Male","University","No loan",0,26,"Vasiliev",28,"Spain","0","1",14665.28,"0",70.5336854380158,"Mass Market","Married",58,5329,626,"1",0,"2","0"
1,"Male","Postgraduate","Default risk",1,33,"Soto",38,"France","2","0",82774.07,"0",104.303806901833,"High Net Worth","Divorced",55,3702,622,"0",0,"2","0"
6,"Male","Postgraduate","Default risk",0,38,NA,35,"Germany","2","1",129964.94,"0",89.2983780132789,"High Net Worth","Divorced",80,504,634,"0",128015.83,"2","0"
4,"Male","University","No loan",0,27,"Finch",36,"Germany","0","1",49653.37,"1",94.0547431890375,"Mass Market","Married",40,NA,848,"1",155176.83,"2","0"
1,"Male","High School","Active loan",6,31,"Maclean",29,"France","0","0",196474.35,"1",98.0759809346926,"Affluent","Single",71,720,645,"0",130131.08,"2","0"
7,"Female","Postgraduate","Default risk",0,29,"Mironova",40,"Germany","2","1",151167.94,"1",219.537296796889,"High Net Worth","Divorced",49,1629,736,"0",106756.01,"2","0"
7,"Female","Postgraduate","Active loan",0,39,"Lin",54,"Spain","1","0",172586.89,"0",135.268356183483,"High Net Worth","Divorced",42,1669,648,"0",118241.02,"1","1"
6,"Male","High School","Active loan",0,23,"Adams",46,"France","0","1",80262.91,"1",50.1024124846558,"Affluent","Single",59,4135,547,"1",136555.01,"1","0"
4,"Male","Postgraduate","Active loan",0,23,"Hawkins",29,"France","1","1",13107.24,"0",364.059368424988,"High Net Worth","Divorced",99,123,595,"0",61319.63,"1","0"
9,"Male","University","No loan",10,44,"Chinomso",39,"Spain","0","0",100862.36,"1",160.911744855421,"Mass Market","Married",78,3315,622,"1",0,"2","0"
7,"Male","University","No loan",10,24,"Lascelles",25,"France","0","1",13107.24,"0",115.762233359881,"Mass Market","Married",71,6792,584,"1",77886.53,"2","0"
8,"Male","Postgraduate","Active loan",3,28,"Barnes",35,"France","1","1",84199.78,"1",85.3575142689584,"High Net Worth","Divorced",54,3619,676,"0",106836.67,"1","0"
2,"Male","University","No loan",8,27,"Ho",34,"France","0","0",82774.07,"0",109.844573055782,"Mass Market","Married",72,4758,444,"1",144318.97,"1","0"
6,"Male","University","No loan",0,26,"Chou",34,"Germany","0","1",32275.09,"1",50.6750766771415,"Mass Market","Married",70,1439,528,"1",120018.86,"2","0"
3,"Female","High School","No loan",0,36,"Sopuluchukwu",25,"France","0","1",13107.24,"0",182.738335740506,"Affluent","Single",55,6826,677,"1",0,"2","0"
9,"Male","High School","Active loan",0,29,"Ford",35,"France","0","0",13107.24,"0",62.3928170763447,"Affluent","Single",49,NA,636,"0",95478.17,"1","0"
6,"Male","University","No loan",0,22,"Greathouse",57,"France","0","1",133537.53,"1",137.167733989635,"Mass Market","Married",60,NA,548,"1",76165.65,"1","0"
4,"Male","High School","Active loan",5,33,"He",30,"Spain","0","1",180591.32,"1",47.7236463528399,"Affluent","Single",54,6068,811,"1",0,"2","0"
1,"Male","Postgraduate","Active loan",1,28,NA,33,"Spain","1","1",21768.21,"1",151.084403412692,"High Net Worth","Divorced",90,5809,671,"0",105102.5,"1","0"
9,"Female","High School","Active loan",6,37,"Ferrari",38,"France","0","1",93261.69,"1",56.5532375426721,"Affluent","Single",30,2908,810,"0",176134.54,"1","0"
2,"Female","High School","Active loan",4,29,"Samaniego",68,"Spain","0","0",13107.24,"0",77.7279811630082,"Affluent","Single",54,NA,828,"0",183555.24,"1","1"
7,"Female","Postgraduate","Active loan",6,17,"Nucci",29,"Spain","1","0",137791.18,"0",195.338915585271,"High Net Worth","Divorced",75,NA,614,"0",0,"2","0"
3,"Female","Postgraduate","Active loan",3,27,"Volkova",23,"France","1","1",13107.24,"1",170.202830888622,"High Net Worth","Divorced",87,3326,756,"0",112568.31,"1","0"
8,"Male","Postgraduate","Active loan",1,25,NA,44,"France","1","1",82774.07,"1",97.3226395752752,"High Net Worth","Divorced",44,1765,695,"0",115713.84,"2","0"
5,"Female","Postgraduate","Active loan",3,36,"Onyekaozulu",28,"Spain","1","1",82774.07,"1",53.9665658002492,"High Net Worth","Divorced",95,1305,639,"0",97840.72,"1","0"
0,"Male","University","No loan",0,31,NA,46,"France","0","1",38772.65,"1",145.87586195312,"Mass Market","Married",54,2058,842,"1",0,"2","0"
1,"Male","University","No loan",0,32,"Nebeolisa",32,"Germany","0","1",127443.82,"1",110.327171590624,"Mass Market","Married",72,2061,699,"1",123906.22,"3","1"
4,"Male","High School","No loan",10,28,"Hayes",28,"Germany","0","1",104189.46,"0",157.201641195163,"Mass Market","Married",57,NA,663,"1",70362.52,"2","0"
2,"Female","University","No loan",0,23,"Chinagorom",45,"France","0","1",82774.07,"1",125.620132875987,"Mass Market","Married",78,490,525,"1",109730.22,"1","0"
0,"Female","University","No loan",10,24,NA,26,"France","0","1",74425.41,"1",47.2725197174074,"Mass Market","Married",58,NA,850,"1",123126.29,"1","0"
1,"Male","High School","No loan",4,30,"More",42,"Spain","0","1",26578.69,"1",60.2431918389144,"Affluent","Single",60,5867,602,"1",138912.17,"1","0"
7,"Male","University","No loan",0,27,"Yermakov",27,"France","0","0",82774.07,"0",84.6657869398769,"Mass Market","Married",68,1682,623,"1",120509.81,"1","0"
2,"Male","University","No loan",10,35,NA,49,"France","0","1",148804.36,"0",133.598267297297,"Mass Market","Married",47,1212,742,"1",121973.28,"1","0"
8,"Male","University","No loan",0,40,"Thornton",64,"Spain","0","1",26578.69,"0",282.255225433274,"Mass Market","Married",59,5060,707,"1",96834.78,"1","1"
4,"Male","High School","Active loan",0,28,"Storey",25,"Germany","0","1",32275.09,"1",78.498270419214,"Affluent","Single",42,4655,643,"1",115142.9,"1","0"
8,"Male","High School","No loan",6,33,NA,24,"Spain","0","1",4070.28,"0",224.091533316782,"Affluent","Single",83,5185,742,"1",177657.35,"1","0"
3,"Male","High School","Active loan",6,30,"Padovano",35,"France","0","1",49405.93,"0",139.884099276362,"Affluent","Single",44,6520,562,"0",0,"2","0"
5,"Male","High School","Active loan",4,31,"Tan",44,"France","0","1",128046.98,"0",74.2881477485635,"Affluent","Single",79,1648,541,"0",0,"2","0"
7,"Male","University","No loan",10,33,"Crawford",29,"Spain","0","1",128077.8,"0",342.465233382768,"Mass Market","Married",46,NA,758,"1",61710.44,"1","0"
0,"Male","High School","No loan",0,28,NA,35,"Germany","0","1",145325.32,"1",95.200805135683,"Affluent","Single",41,NA,837,"1",113905.48,"1","0"
8,"Male","High School","Active loan",4,34,"Onuchukwu",25,"Spain","0","1",13107.24,"1",196.711231449506,"Affluent","Single",23,NA,792,"0",79523.13,"1","0"
8,"Male","University","No loan",0,33,"Hung",40,"Spain","0","1",26578.69,"1",72.0057862440666,"Mass Market","Married",20,409,848,"1",110929.96,"1","0"
6,"Male","High School","Active loan",6,29,"Ch'en",46,"Spain","0","0",19233.41,"1",71.0125424506035,"Affluent","Single",69,2883,738,"0",177997.07,"1","0"
2,"Male","High School","No loan",0,28,"Haugh",40,"Germany","0","0",46415.09,"0",108.95687319571,"Mass Market","Single",56,2653,796,"1",85906.65,"2","0"
1,"Male","High School","No loan",9,30,"Rose",38,"France","0","1",122379.54,"1",56.763869958069,"Mass Market","Married",51,6086,706,"1",0,"2","0"
7,"Male","Other","Default risk",0,29,"Gordon",33,"France","3","0",183682.09,"0",26.8003955029395,"High Net Worth","Widowed",52,NA,786,"0",137361.96,"1","0"
8,"Female","University","No loan",0,37,"Scott",35,"Germany","0","1",189339.6,"0",44.4404064779734,"Mass Market","Married",66,265,460,"1",102742.91,"2","0"
4,"Male","High School","Active loan",5,26,NA,35,"Germany","0","1",13107.24,"1",66.6566967634053,"Affluent","Single",58,NA,603,"1",98899.76,"2","0"
1,"Male","Postgraduate","Default risk",1,31,NA,35,"Spain","2","0",174770.14,"0",105.765231380132,"High Net Worth","Divorced",38,NA,680,"0",100337.96,"1","1"
4,"Male","Postgraduate","Default risk",1,32,"Bagley",37,"France","2","1",198252.88,"0",93.7513861516697,"High Net Worth","Divorced",58,162,670,"0",170557.91,"2","0"
8,"Male","High School","No loan",0,29,"Trevisani",41,"Germany","0","0",20491.15,"1",296.842081525624,"Mass Market","Married",73,NA,521,"1",163159.85,"1","0"
6,"Female","University","No loan",9,26,"Lu",27,"Spain","0","1",172031.22,"1",59.1872278392739,"Mass Market","Married",63,6160,600,"1",0,"2","0"
7,"Male","University","No loan",10,32,"Li Fonti",28,"France","0","1",122190.22,"0",213.178258366494,"Mass Market","Married",64,5369,418,"1",98738.92,"1","0"
0,"Male","University","No loan",0,32,"Chiedozie",23,"Spain","0","1",26578.69,"1",125.882635161599,"Mass Market","Married",77,5948,595,"1",0,"2","0"
10,"Female","University","No loan",9,22,"Vasilieva",37,"Spain","0","1",153015.42,"0",101.55136775419,"Mass Market","Married",57,NA,643,"1",0,"2","0"
4,"Male","Postgraduate","Active loan",0,27,"Thorpe",26,"France","1","1",32275.09,"0",109.730589324161,"High Net Worth","Divorced",58,1530,646,"0",139848.17,"1","0"
8,"Male","University","No loan",10,14,"Piccio",57,"Spain","0","1",159254.29,"0",143.213612238675,"Mass Market","Married",69,802,546,"1",165282.42,"1","0"
8,"Female","High School","No loan",0,24,"Udinese",56,"France","0","1",29880.99,"0",43.6536842480837,"Mass Market","Married",64,NA,793,"1",0,"2","0"
2,"Male","Other","Default risk",0,29,NA,37,"France","3","0",26578.69,"0",101.995991929684,"High Net Worth","Widowed",67,1852,603,"0",0,"2","0"
3,"Female","Postgraduate","Active loan",3,32,NA,39,"France","1","1",49405.93,"0",71.4317450169469,"High Net Worth","Divorced",77,3029,519,"0",118336.14,"1","0"
1,"Female","University","No loan",8,24,NA,64,"Spain","0","1",41800.18,"1",198.485835272273,"Mass Market","Married",49,3203,647,"1",91216,"1","0"
5,"Male","University","No loan",8,25,"Lin",41,"France","0","1",77414.45,"1",114.717097434635,"Mass Market","Married",90,NA,734,"1",0,"2","0"
9,"Male","High School","Active loan",0,37,NA,56,"France","0","0",39488.04,"0",95.3570108041784,"Affluent","Single",38,4717,607,"0",142147.32,"1","1"
5,"Female","University","No loan",0,42,"Power",30,"Spain","0","1",19500.1,"0",197.87422533261,"Mass Market","Married",50,6702,710,"1",0,"1","0"
9,"Male","University","No loan",0,37,"Woods",20,"France","0","1",137835.82,"1",116.260561258415,"Mass Market","Married",72,NA,521,"1",122550.05,"2","0"
1,"Male","University","No loan",0,27,"Ponce",35,"Spain","0","1",152541.89,"0",111.959779370531,"Mass Market","Married",69,4526,603,"1",123407.69,"1","1"
8,"Male","University","No loan",9,26,NA,27,"Spain","0","1",188007.99,"1",60.1389851224241,"Mass Market","Married",48,2655,663,"1",90963.49,"1","0"
1,"Female","University","No loan",8,24,NA,33,"Spain","0","0",26578.69,"1",72.7244977911577,"Mass Market","Married",67,NA,553,"1",142876.98,"2","0"
10,"Male","University","No loan",10,28,"Hao",36,"Germany","0","1",160696.72,"1",102.797233387877,"Mass Market","Married",72,NA,570,"1",0,"1","0"
5,"Female","University","No loan",8,30,NA,50,"Germany","0","0",192146.63,"1",55.7398027338432,"Mass Market","Married",82,NA,579,"1",117721.02,"1","1"
1,"Female","University","No loan",10,30,NA,20,"Spain","0","1",82774.07,"0",58.4656296249105,"Mass Market","Married",85,NA,521,"1",0,"2","1"
7,"Female","High School","No loan",5,30,"Volkova",33,"France","0","1",136540.09,"0",64.0537955212228,"Affluent","Single",49,6729,669,"1",89939.62,"1","0"
3,"Male","University","No loan",0,30,NA,28,"Germany","0","1",131647.31,"1",147.334512187635,"Mass Market","Married",58,NA,546,"1",132837.7,"2","0"
6,"Male","High School","Active loan",4,30,NA,35,"France","0","0",176962.31,"0",171.581219619005,"Affluent","Single",76,1509,690,"0",95858.37,"1","0"
6,"Male","High School","Active loan",6,33,NA,35,"France","0","1",176728.28,"0",175.671348306561,"Affluent","Single",71,762,543,"0",0,"2","0"
3,"Male","University","No loan",0,37,"Aleshire",28,"Spain","0","1",32275.09,"1",140.650032228092,"Mass Market","Married",70,137,731,"1",129818.39,"1","0"
5,"Female","Postgraduate","Active loan",3,29,"Brookes",38,"Germany","1","1",71905.77,"0",88.5735449424221,"High Net Worth","Divorced",55,338,679,"0",130878.75,"3","1"
6,"Male","University","No loan",0,34,"Ts'ai",24,"Germany","0","1",169505.83,"1",97.603243329723,"Mass Market","Married",48,3135,479,"1",107637.97,"2","0"
9,"Male","University","No loan",10,25,NA,38,"France","0","1",99106.97,"0",124.632271859076,"Mass Market","Married",72,3285,589,"1",92219.21,"1","0"
8,"Female","University","No loan",9,22,"Crawford",35,"France","0","1",121904.44,"0",77.6263020248394,"Mass Market","Married",42,3865,562,"1",92855.02,"1","0"
4,"Male","University","No loan",10,32,NA,30,"Spain","0","1",49405.93,"0",236.855022965346,"Mass Market","Married",65,4725,751,"1",125385.01,"1","0"
10,"Male","High School","Active loan",6,30,"Yang",32,"Spain","0","1",22487.45,"1",42.7258092667604,"Affluent","Single",58,5025,665,"0",83568.55,"1","0"
7,"Male","High School","No loan",0,21,"Ferri",46,"France","0","0",140130.22,"1",130.696810102282,"Affluent","Single",78,4690,565,"1",135369.71,"1","0"
7,"Male","University","No loan",8,27,"Collier",34,"France","0","1",56646.28,"1",55.0716493030393,"Mass Market","Married",89,5294,626,"1",0,"2","0"
5,"Female","Postgraduate","Default risk",1,31,"Chigozie",36,"Germany","2","1",33075.24,"0",92.4322082457552,"High Net Worth","Divorced",86,5717,497,"0",68806.84,"1","0"
